--- TRADE SIMULATION RESULTS (M1 VERIFIED) ---
Period: 2024-01-01 to Present
Initial Equity: $1000.00
Threshold: 95.0%
Risk per trade: 1.0%
-------------------------------------------------------------------------------------
Entry Time                Exit Time                 Type     Status       Equity         
2025-12-30 16:15:00       2025-12-30 16:16:00       SELL     TP           $296248952499053527040.00
2025-12-31 03:30:00       2025-12-31 03:31:00       SELL     TP           $302173931549034610688.00
2025-12-31 04:00:00       2025-12-31 06:54:00       SELL     TP           $308217410180015325184.00
2025-12-31 07:30:00       2025-12-31 07:53:00       SELL     TP           $314381758383615639552.00
2025-12-31 08:00:00       2025-12-31 19:59:00       BUY      TIMEOUT_SL   $311237940799779504128.00
2026-01-02 10:45:00       2026-01-02 13:25:00       SELL     SL           $308125561391781707776.00
2026-01-02 14:45:00       2026-01-02 14:46:00       SELL     TP           $314288072619617353728.00
2026-01-02 15:00:00       2026-01-02 15:01:00       SELL     TP           $320573834072009670656.00
2026-01-02 16:00:00       2026-01-02 16:31:00       SELL     TP           $326985310753449836544.00
2026-01-02 20:00:00       2026-01-02 20:01:00       BUY      TP           $333525016968518828032.00
2026-01-05 01:30:00       2026-01-05 02:18:00       BUY      TP           $340195517307889188864.00
2026-01-05 03:00:00       2026-01-05 08:25:00       SELL     SL           $336793562134810329088.00
2026-01-05 14:00:00       2026-01-05 14:42:00       SELL     TP           $343529433377506525184.00
2026-01-05 15:30:00       2026-01-05 15:31:00       SELL     TP           $350400022045056630784.00
2026-01-05 15:45:00       2026-01-05 15:55:00       SELL     TP           $357408022485957738496.00
2026-01-05 16:00:00       2026-01-05 16:30:00       SELL     TP           $364556182935676911616.00
2026-01-05 17:00:00       2026-01-06 01:09:00       SELL     SL           $360910621106320113664.00
2026-01-06 03:45:00       2026-01-06 03:46:00       SELL     TP           $368128833528446517248.00
2026-01-06 04:00:00       2026-01-06 04:01:00       SELL     TP           $375491410199015456768.00
2026-01-06 04:15:00       2026-01-06 04:38:00       SELL     TP           $383001238402995781632.00
2026-01-06 05:00:00       2026-01-06 05:24:00       SELL     SL           $379171226018965815296.00
2026-01-06 05:30:00       2026-01-06 07:04:00       SELL     SL           $375379513758776164352.00
2026-01-06 10:15:00       2026-01-06 11:11:00       SELL     TP           $382887104033951711232.00
2026-01-06 11:15:00       2026-01-06 11:47:00       SELL     TP           $390544846114630729728.00
2026-01-06 12:15:00       2026-01-06 12:36:00       SELL     SL           $386639397653484404736.00
2026-01-06 15:45:00       2026-01-06 15:46:00       SELL     TP           $394372185606554124288.00
2026-01-06 16:30:00       2026-01-06 16:45:00       SELL     SL           $390428463750488588288.00
2026-01-06 18:30:00       2026-01-06 18:32:00       SELL     TP           $398237033025498382336.00
2026-01-06 18:45:00       2026-01-06 19:43:00       SELL     TP           $406201773686008381440.00
2026-01-07 03:15:00       2026-01-07 03:33:00       SELL     TP           $414325809159728529408.00
2026-01-07 04:00:00       2026-01-07 04:01:00       SELL     TP           $422612325342923128832.00
2026-01-07 04:15:00       2026-01-07 04:32:00       SELL     SL           $418386202089493889024.00
2026-01-07 04:45:00       2026-01-07 06:40:00       SELL     TP           $426753926131283787776.00
2026-01-07 08:00:00       2026-01-07 08:36:00       SELL     TP           $435289004653909442560.00
2026-01-07 09:30:00       2026-01-07 09:46:00       SELL     SL           $430936114607370338304.00
2026-01-07 10:00:00       2026-01-07 10:02:00       SELL     TP           $439554836899517759488.00
2026-01-07 10:15:00       2026-01-07 10:36:00       SELL     SL           $435159288530522603520.00
2026-01-07 10:45:00       2026-01-07 11:07:00       SELL     TP           $443862474301133029376.00
2026-01-07 14:15:00       2026-01-07 14:16:00       SELL     TP           $452739723787155668992.00
2026-01-07 15:00:00       2026-01-07 15:01:00       BUY      TP           $461794518262898753536.00
2026-01-07 15:45:00       2026-01-07 15:46:00       SELL     TP           $471030408628156760064.00
2026-01-07 16:00:00       2026-01-07 17:14:00       SELL     TP           $480451016800719863808.00
2026-01-07 17:45:00       2026-01-07 18:11:00       SELL     SL           $475646506632712683520.00
2026-01-07 18:15:00       2026-01-07 18:16:00       SELL     TP           $485159436765366910976.00
2026-01-07 18:30:00       2026-01-07 18:31:00       SELL     TP           $494862625500674260992.00
2026-01-07 18:45:00       2026-01-07 19:55:00       SELL     TP           $504759878010687717376.00
2026-01-08 04:00:00       2026-01-08 04:33:00       SELL     TP           $514855075570901450752.00
2026-01-08 04:45:00       2026-01-08 05:12:00       SELL     SL           $509706524815192424448.00
2026-01-08 05:15:00       2026-01-08 05:16:00       SELL     TP           $519900655311496282112.00
2026-01-08 05:30:00       2026-01-08 07:04:00       SELL     TP           $530298668417726218240.00
2026-01-08 08:00:00       2026-01-08 08:33:00       BUY      TP           $540904641786080722944.00
2026-01-08 09:00:00       2026-01-08 10:33:00       SELL     TP           $551722734621802364928.00
2026-01-08 14:30:00       2026-01-08 14:31:00       SELL     TP           $562757189314238414848.00
2026-01-08 14:45:00       2026-01-08 15:06:00       SELL     TP           $574012333100523192320.00
2026-01-08 15:15:00       2026-01-08 15:16:00       SELL     TP           $585492579762533629952.00
2026-01-08 15:30:00       2026-01-08 15:54:00       SELL     TP           $597202431357784293376.00
2026-01-09 03:45:00       2026-01-09 03:50:00       SELL     TP           $609146479984940023808.00
2026-01-09 04:00:00       2026-01-09 07:23:00       SELL     TP           $621329409584638853120.00
2026-01-09 11:00:00       2026-01-09 11:01:00       SELL     TP           $633755997776331669504.00
2026-01-09 15:30:00       2026-01-09 15:31:00       SELL     TP           $646431117731858350080.00
2026-01-09 16:15:00       2026-01-09 16:17:00       SELL     TP           $659359740086495477760.00
2026-01-09 17:15:00       2026-01-09 17:38:00       SELL     SL           $652766142685630562304.00
2026-01-09 17:45:00       2026-01-09 18:11:00       SELL     TP           $665821465539343155200.00
2026-01-09 19:00:00       2026-01-09 19:48:00       SELL     TP           $679137894850130083840.00
2026-01-12 02:00:00       2026-01-12 02:01:00       SELL     TP           $692720652747132633088.00
2026-01-12 02:15:00       2026-01-12 02:16:00       SELL     TP           $706575065802075275264.00
2026-01-12 02:30:00       2026-01-12 02:31:00       SELL     TP           $720706567118116749312.00
2026-01-12 02:45:00       2026-01-12 14:44:00       SELL     TIMEOUT_SL   $713499501446935609344.00
2026-01-12 15:00:00       2026-01-12 15:01:00       SELL     TP           $727769491475874316288.00
2026-01-12 15:30:00       2026-01-12 15:49:00       SELL     SL           $720491796561115611136.00
2026-01-12 17:00:00       2026-01-12 17:01:00       SELL     TP           $734901632492337889280.00
2026-01-12 17:15:00       2026-01-12 17:34:00       SELL     SL           $727552616167414562816.00
2026-01-12 17:45:00       2026-01-12 18:13:00       SELL     SL           $720277090005740421120.00
2026-01-12 18:15:00       2026-01-12 22:43:00       SELL     TP           $734682631805855203328.00
2026-01-13 02:00:00       2026-01-13 03:32:00       SELL     TP           $749376284441972310016.00
2026-01-13 10:15:00       2026-01-13 10:35:00       SELL     SL           $741882521597552623616.00
2026-01-13 15:30:00       2026-01-13 15:31:00       SELL     TP           $756720172029503733760.00
2026-01-13 16:00:00       2026-01-13 16:01:00       SELL     TP           $771854575470093795328.00
2026-01-13 16:15:00       2026-01-13 16:44:00       SELL     SL           $764136029715392888832.00
